Date Time,Site Name,Value,Averaging Period,Units,California State Standard,National Ambient Air Quality Standard by U.S. EPA
10/26/19 16:00,Central Los Angeles,4.4,1-hr,pphm,9,N/A
10/26/19 17:00,Central Los Angeles,3.5,1-hr,pphm,9,N/A
10/26/19 18:00,Central Los Angeles,3,1-hr,pphm,9,N/A
10/26/19 19:00,Central Los Angeles,3,1-hr,pphm,9,N/A
10/26/19 20:00,Central Los Angeles,2.7,1-hr,pphm,9,N/A
10/26/19 21:00,Central Los Angeles,2.2,1-hr,pphm,9,N/A
10/26/19 22:00,Central Los Angeles,2.8,1-hr,pphm,9,N/A
10/26/19 23:00,Central Los Angeles,2.9,1-hr,pphm,9,N/A
10/27/19 0:00,Central Los Angeles,1.8,1-hr,pphm,9,N/A
10/27/19 1:00,Central Los Angeles,1.1,1-hr,pphm,9,N/A
10/27/19 2:00,Central Los Angeles,1,1-hr,pphm,9,N/A
10/27/19 3:00,Central Los Angeles,1.9,1-hr,pphm,9,N/A
10/27/19 4:00,Central Los Angeles,2.7,1-hr,pphm,9,N/A
10/27/19 5:00,Central Los Angeles,3,1-hr,pphm,9,N/A
10/27/19 6:00,Central Los Angeles,3.3,1-hr,pphm,9,N/A
10/27/19 7:00,Central Los Angeles,3.7,1-hr,pphm,9,N/A
10/27/19 8:00,Central Los Angeles,4,1-hr,pphm,9,N/A
10/27/19 9:00,Central Los Angeles,4.3,1-hr,pphm,9,N/A
10/27/19 10:00,Central Los Angeles,4.2,1-hr,pphm,9,N/A
10/27/19 11:00,Central Los Angeles,4.3,1-hr,pphm,9,N/A
10/27/19 12:00,Central Los Angeles,3.8,1-hr,pphm,9,N/A
10/27/19 13:00,Central Los Angeles,3.7,1-hr,pphm,9,N/A
10/27/19 14:00,Central Los Angeles,3.6,1-hr,pphm,9,N/A
10/27/19 15:00,Central Los Angeles,3.6,1-hr,pphm,9,N/A
10/27/19 16:00,Central Los Angeles,3.6,1-hr,pphm,9,N/A
10/27/19 17:00,Central Los Angeles,3.2,1-hr,pphm,9,N/A
10/27/19 18:00,Central Los Angeles,3,1-hr,pphm,9,N/A
10/27/19 19:00,Central Los Angeles,2.8,1-hr,pphm,9,N/A
10/27/19 20:00,Central Los Angeles,2.8,1-hr,pphm,9,N/A
10/27/19 21:00,Central Los Angeles,2.5,1-hr,pphm,9,N/A
10/27/19 22:00,Central Los Angeles,0.9,1-hr,pphm,9,N/A
10/27/19 23:00,Central Los Angeles,0.6,1-hr,pphm,9,N/A
10/28/19 0:00,Central Los Angeles,0.5,1-hr,pphm,9,N/A
10/28/19 1:00,Central Los Angeles,1,1-hr,pphm,9,N/A
10/28/19 2:00,Central Los Angeles,0.4,1-hr,pphm,9,N/A
10/28/19 3:00,Central Los Angeles,0.5,1-hr,pphm,9,N/A
10/28/19 4:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/28/19 5:00,Central Los Angeles,0.1,1-hr,pphm,9,N/A
10/28/19 6:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/28/19 7:00,Central Los Angeles,0.4,1-hr,pphm,9,N/A
10/28/19 8:00,Central Los Angeles,1.1,1-hr,pphm,9,N/A
10/28/19 9:00,Central Los Angeles,1.9,1-hr,pphm,9,N/A
10/28/19 10:00,Central Los Angeles,2.9,1-hr,pphm,9,N/A
10/28/19 11:00,Central Los Angeles,4.3,1-hr,pphm,9,N/A
10/28/19 12:00,Central Los Angeles,5,1-hr,pphm,9,N/A
10/28/19 13:00,Central Los Angeles,4.8,1-hr,pphm,9,N/A
10/28/19 14:00,Central Los Angeles,4.7,1-hr,pphm,9,N/A
10/28/19 15:00,Central Los Angeles,4.9,1-hr,pphm,9,N/A
10/28/19 16:00,Central Los Angeles,4.5,1-hr,pphm,9,N/A
10/28/19 17:00,Central Los Angeles,4.1,1-hr,pphm,9,N/A
10/28/19 18:00,Central Los Angeles,2.7,1-hr,pphm,9,N/A
10/28/19 19:00,Central Los Angeles,0.7,1-hr,pphm,9,N/A
10/28/19 20:00,Central Los Angeles,0.8,1-hr,pphm,9,N/A
10/28/19 21:00,Central Los Angeles,0.4,1-hr,pphm,9,N/A
10/28/19 22:00,Central Los Angeles,0.9,1-hr,pphm,9,N/A
10/28/19 23:00,Central Los Angeles,0.3,1-hr,pphm,9,N/A
10/29/19 0:00,Central Los Angeles,0.4,1-hr,pphm,9,N/A
10/29/19 1:00,Central Los Angeles,0.1,1-hr,pphm,9,N/A
10/29/19 2:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/29/19 3:00,Central Los Angeles,0.1,1-hr,pphm,9,N/A
